time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2021-04-08 09:30:00-04:00,MLTader,319b191ad009409e879ecef2645d38ea,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.3900146484375,7.0,0.0
2021-04-09 09:30:00-04:00,MLTader,5576f28dfcc54783a2d03fd6376e919d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-09 09:30:00-04:00,MLTader,5576f28dfcc54783a2d03fd6376e919d,SPY,buy,market,fill,1,gtc,0.0,1,stock,408.3900146484375,4.0,0.0
2021-04-12 09:30:00-04:00,MLTader,9dc85ebb9b734b80bf254d48b6b7ec20,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-12 09:30:00-04:00,MLTader,9dc85ebb9b734b80bf254d48b6b7ec20,SPY,buy,market,fill,1,gtc,0.0,1,stock,411.5299987792969,2.0,0.0
2021-04-13 09:30:00-04:00,MLTader,479904b8587a4c72b815cc1f375a3943,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2021-04-13 09:30:00-04:00,MLTader,479904b8587a4c72b815cc1f375a3943,SPY,buy,market,fill,1,gtc,0.0,1,stock,412.8299865722656,1.0,0.0
2021-07-16 09:30:00-04:00,MLTader,99d2541d190547d4bcb0ae28df92f1b1,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,04122e6153f84f78ad2f9c658f714321,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,934a4f8654434b129e6da231c9b65081,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,8891e294722848f4b15fd56dd9a72928,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,a17eb4b1d71f421998ac03bfc3ead0c5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,bae5adfbe3f141fe930024113038e3f8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,306238ebcaac434eadc6cdfbf042b925,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,7fe98cba008c45cf911d28092d8a9548,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,0c56dbbdd44140728a73f38b4c907f57,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,410496a42f534022b9d26b4f0ac0b614,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,4974abee23cc4a0580d435fe3cf1d6a6,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,8f508956985a40f59bcc0a028d057667,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,d12234eb5c9542ac988a85cb235336f2,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,5820eab55e7f44c4a883a6525eaae7cb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,de0ac564af864675a69c0c7eca72e0bb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,99c478ae26e2496cab20bf469b18766c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,0d05e11a0c2f40338635b34cf06400ac,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,d221f76122fc428b9823cf66bd7779e8,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,6aff6354f0a547e1bb191ecc65ed1140,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,038788bb09e34f33bd36b82193ed9f1a,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,58088cfe91284e399514dab57819738b,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,55591eb4e86b4692b8ec3c8a2d5b196f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,3b696c43a7bd4b60a51a2a10caa4f5b0,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,2fb3145cf96a4235bd5c0e877c29bf35,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,f75e7f8ed8c5499d85d1b338c4263534,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,ff289b3b95d046c38a21759a88d0d7c1,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,3bdfd2af33614caf93c1716b6542b46d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,54e86fa5a62245d8ba19c9cd1db918cb,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,521467f3296046c1b75728d3742afc1c,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,19b27bc6f4d344d0a04bee56c9ece7d7,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,84ffdcf453494ce9beb946bb078dc8c5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,2fd9a2c307904c598d0c8cfe66baef6b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,ecd31590fa544ee0a85ffbdfc6d450cd,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,44326869cb6a43358301099668be1b25,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,6cf33bdf1c454629b40117e6eb409b06,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,2ef61eff7e814db1813720c11cbc71cf,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,cb91174c4a7b46e889647a72bc859e4f,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,d59772ea2e1a4515bd5e6cdcdb7d165f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,39a092c4c29643fe8acc0da8dd652065,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,bb0d948d544641409fa1fb406bdafe2d,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,ef461b5c961b4220a369f55b202f5254,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,e028e4ad43fd4675a2eae353cb33f789,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,2adf44765eb2440aaab1f21c2af9b7ad,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,52862ac0af634dc290e9b8cd3609d3cf,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,81becf93beda42a7807b325a531a734e,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,0802c4124a7241489f28e2dcc53cc003,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,f9d5e8f9f3fb4345a18d7ac5cffa73fb,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,db4d1e947a354488a28d3f495f9ee8e7,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2021-07-16 09:30:00-04:00,MLTader,8d42c2b8276645778a31be1659f957df,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
